,평점,일시,감상평
105,10,2019.05.23 22:11,윌스미스 연기 최고고 정말 뽠타스틱했어요
106,10,2019.05.23 15:01,윌스미스 ㅋㅋㅋ 아진짜 재밌었음!!
107,10,2019.05.23 14:25,이건뭐 지리는영화... 최근본 영화중에 제일 고퀄
108,10,2019.05.24 21:09,알라딘이랑 지니 역분이 너무 매력적이여서 영화보는데 정신이 다 갔어 ㅠ그리고 음악도 너무 좋았고요 3~4번 더 볼 정도로 지루하지 않고너무 좋았어요 그리고 눈호강도 했고요 암튼너무 재밌었고 어른들이 봐도 지루하지 않고 유치하지 않을정도로너무 재밌습니다 
109,10,2019.05.23 13:27,디즈니 영화를 좋아하는데 진짜 배우들도 잘어울리고 ost나올때는 소름끼치도록 좋았고 한번더 보려고 예매했어요!! 너무너무 재밌게 봐서 시간가는줄 몰랐어요!!
110,10,2019.05.24 01:06,애니 잘 살려냈다 화면보면서 감탄함
111,10,2019.05.24 22:22,명불허전 윌 스미스.. 능청맞은 연기가 지니랑 찰떡이었슴...
112,10,2019.05.24 20:18,"아 정말 최고다. 애니메이션의 감동을 그대로 유지한 채 현대의 감성도 적절히 녹였다. 배우, 연기, 음악, 볼거리 모두가 좋았다. 개인적으로 미녀와 야수보다 좋았음. 7월 라이온킹이 너무 기대"
113,10,2019.05.24 10:38,진짜 솔직히 말하면 a whole new world 나오는 순간부터 소름 쫙돋음 ㅠㅠ 윌스미스 지니 역에 찰떡아니냐ㅋㅋㅋ 걱정할 필요가없었다! 너무재밌었음
114,10,2019.05.23 23:40,기대를 크게 안하다가 너무 재밌게봤다
115,10,2019.05.28 05:13,2시간동안 꿈꾼것같음
116,10,2019.06.02 13:23,아부가 빨간 보석 집었을때 앞에 있던 아이의 탄식...ㅋㅋㅋ 잊을 수 없다
117,10,2019.05.23 21:53,최고입니다 두 번 보려구요
118,10,2019.05.26 12:21,"다른 영화 다 제치고 인생영화로 등극했어요,, 정말 영화 시작할때부터 끝까지 흠잡을것 하나 없이 완벽했고 취향200% 저격인 영화에요. 영화 끝나자마자 또 보고 싶단 생각이 들어서 다음주에 또 볼거에요!!"
119,10,2019.05.29 09:14,나 진짜 마블 진성 덕후인데 어벤져스보다 재밌었다;; 둘이 양탄자 타고 날 때는 감동의 눈물도 좀 나왔음ㅋㅋ
120,10,2019.05.25 02:52,Speechless
121,10,2019.05.24 01:15,노래들도 정말 다 좋고 진짜 인생영화...특히 a whole new world 나올 때는 소름이 쫙 끼쳤다..
122,10,2019.05.27 11:56,그냥 전반적으로 좋았네요.영화가 아닌 공연을 본 듯한?한국 영화도 이런류의 작품 좀 만들었으면..맨날 경찰  검사 느와르 조폭..
123,8,2019.05.24 20:02,제목만 알라딘이였을뿐..결국 주인공은 자스민임 ㅋㅋ알라딘이 왕자되서 궁전찾아갔을때 그때 진짜 와 스케일 미쳤다 생각들었다 그 장면 말곤 크게 생각나는건 없음
124,10,2019.05.23 23:46,방금 저녁타임 보고 나왔어요~뒤에서 짭짭 거리던 소리도 잊을 만큼 시간 금방 갑니다~정말 최고였어요~♡
125,10,2019.05.27 21:52,윌스미스가 지니라고? 의아했는데 다른분들 말대로 정말 원작 씹어먹음.. 그냥 반해버림.. 보고나왔는데 행복감 가득해지는 영화 ..
126,10,2019.05.26 23:16,디즈니 만화동산을 오매불망 기다리던 꼬마가 서른셋이 되어 알라딘 실화영화를 볼 때의 감동을 고맙게도 디즈니는 지켜주었다.
127,10,2019.05.26 22:05,"혹평이고.... 호러같이 자극적인거만 좋아하는 저인데, 영화가 너무 아름다워서 후반엔 눈물이 흐르더라구요. 저도 늙었나봅니다 근래에 본 모든 영화중에 제 가슴을 가장 적셨어요"
128,10,2019.05.23 22:16,동심 찾기 영화 너무좋다
129,10,2019.06.05 23:09,기생충보다훨씬꿀잼입니다
130,10,2019.05.24 00:23,A whole new world 나올 때 진심 숨 참고 봤음ㅠㅠ
131,10,2019.05.26 01:33,진짜 미친거같은 영화. 디즈니 실사중 유일하게 오리지널을 뛰어넘움
132,10,2019.05.23 22:10,하루종일 노래가 머리에 맴도네요실사로보니 더 멋지고 아름다운 영화였어요
133,10,2019.05.24 22:31,힘든 고3 생활에서 만난 한줄기 빛과 같은 영화 ..일상에서 벗어나 아무 걱정없이 순간을 즐길 수 있어서 행복했습니다. 멋진 영화 감사합니다
134,10,2019.05.23 12:53,너무감동있게봤어요♡잊지못할ost
135,10,2019.05.25 10:17,완벽한 실사판이 이거구나 느꼈다
136,10,2019.05.24 00:28,자스민 진짜 최고 멋지다...
137,10,2019.05.24 01:19,보는내내 눈과 귀가 즐거움
138,10,2019.05.23 22:04,기대 안했는데 너무 재밌어요 ㅋㅋ 진짜 윌스미스가 하드캐리한 영화임.... 그리고 원숭이랑..
139,10,2019.05.23 20:37,이 동심을 모르는 세대가 안타깝다 ㅠ
140,10,2019.05.23 13:56,생각보다 너무 좋았다 여주 노래 부를때 소름돋음 ㅠㅠ 카펫타고 나를때 둘이 부르는 노래가 흘러나올때 눈물찔끔남 ㅠㅠ 추억의 영화을 이렇게 멋지게 만들어내다니 생각보다 잘만들었다 재밌고 또 본다면 4dx로 보고픔^^
141,9,2019.05.24 01:09,스미스 하드캐리 인정ㅋㅋ터졌다
142,10,2019.05.23 23:50,악인전이랑 고민하며 봤는데 와 진짜 너무 재밌어요....  평생 못 잊을 것 같아요...
143,10,2019.05.23 12:16,너무잼있고 아름답고 감동이네요~최고입니다!!
144,10,2019.05.24 01:13,아무생각없이 갔는데 너무나 재밌게 보고왔습니다 강추!!
145,10,2019.05.25 22:41,"누가재미없다고했음? 완전재밌음...디즈니 덕후는 여기서 뼈를 묻습니다ㅎㅎ애니보다 알라딘은 실사영화가 더 잘만들어진거같고 영상미도 너무빼어남. 남주 못생겨서 실망했는데, 끝나갈때쯤 넘나귀엽고 잘생겼슴_^^_^_^speechless부를때 소오오름 "
146,10,2019.05.31 16:45,"영화관에서 2번 본 영화가 없는데, 다시보러가고 싶은 영화입니다."
147,10,2019.05.26 22:26,디즈니가 마블에게... 우리도 이런 영화 만들수 있어~ 우리가 만들면 이렇게 만들지... 하고 한수 날린 영화... 액션 영상미 감동... 모두 잡음~♡
148,10,2019.05.24 01:13,원작 뛰어넘을겁니다 너무 아름다워서 행복했어요 알라딘 욕할만큼 아닙니다 주인공들이 다 매력있고 OST는 말할거없이 눈물납니다 10번 보고 DVD나오면 소장할거에요
149,10,2019.05.23 22:12,영화 대박... 4dx로 봤는데아맥으로 다시 도전합니다.
150,9,2019.05.29 18:29,알라딘 존잘이고 자스민 존예고 윌스미스 존잼임 끝
151,10,2019.05.23 15:26,"시간가는줄몰랐다면 ,별다섯개 줘야지 음악,댄스 그래픽 다좋았다, 솔직히 캐스팅 때문에 기대안했는데, 괜한걱정 했네 , 자파 목소리가, 너무여리여리해서 몰입도 떨어뜨린것빼고는 굿굿 ,양탄자타고하늘 나는장면을 영화로보게된것만으로도 감동 "
152,10,2019.05.26 00:56,어벤져스보다 재밋엇다....
153,10,2019.05.28 03:10,내가 뮤지컬 영화를 사랑하는 이유... 그리고 맨첨에 아이들한테 이야기해주는거로 시작하는게 나중에 다시 나올때 먼가 소름돋고 벅차올랐음 ㅠㅅㅠ 역시 믿고보는 디즈니
154,10,2019.05.24 01:19,너무 재밌어요 꼭 보세요
155,10,2019.05.24 00:53,영화도 너무좋고 노래도 좋고 영상미도 좋고 다좋다 하지만 지금까지 디지니 실사화 영화중에서 공주는 제일 퀼리티가 높지않나싶다 알라딘도 그렇고 아무래도 배우를 애니속과 최대한 비슷하게 할려고한거같은데 캐스팅 진짜 잘한거같다 
156,8,2019.05.23 22:52,유치할 줄 알았어. 알라딘이라는 착한 이야기와 디즈니이라는 브랜드의 착한 느낌 떄문에. 이게 웬 걸? 그저 멍청한 편견이었어. 꼭 보는걸 추천할게.
157,10,2019.05.27 16:10,아라비안나이트  (x)       아~~뢔~비안 나잍~~~ (o)
158,10,2019.05.24 14:48,감동스럽네요 ㅠㅠ 한번 더 봐야할듯합니다!!
159,10,2019.05.27 00:28,"뭔 기자 평가가 이래. 이 정도로 죽었다 깨어나도, 너희들은 못만든다."
160,10,2019.05.24 21:33,a whole new world 장면 눈물났네요
161,10,2019.05.28 15:11,영화끝나고 음원 무한반복중
162,10,2019.05.23 22:56,원작에 대한 추억을 해치지않고 몰입해서 너무재밌게 잘봤어요! 윌스미스의 지니가 정말좋았습니다! 보는내내 참 행복했어요~!
163,10,2019.05.23 21:54,OST땜에 스크린 올라가고 있는데 끝까지 듣고 나왔어요. 어렸을적 형수돋는 영화
164,10,2019.06.03 12:07,알라딘공감vs기생충비공....둘다 보신분들 추천좀요
165,10,2019.05.24 22:12,진짜 개존잼 제발 보세요 ;; 노래 소름
166,10,2019.05.23 22:07,특히 춤 노래 압권임 굿굿
167,10,2019.05.23 22:16,제 유년시절의 꿈을 멋지게 지켜낸 디즈니 최고의 실사 영화..운명을 넘어 진정한 자기자신을 실현하는 스토리가 멋지고 감동적입니다. 전율이 일었어요.
168,10,2019.05.25 00:40,말이 필요없다. 그냥 가서 봐야... 추억의 알라딘이 제대로 부활한듯~ 최고!
169,10,2019.05.24 10:54,이 알라딘의 숨은 주인공은 아부 그리고 마법 양탄자!! 진짜 볼거리도 많고 뮤지컬같은 분위기 짱짱 bb  오랜만에 신선한 영화를 본 것 같다!
170,10,2019.05.26 02:45,진짜 애바임 개재밌음 다섯번은 더 봐줘야댐 지니 도라지먹고 도랐나 개처웃갸 두시간동안 울다가 웃다가 나참 엉덩이에 털이 자랐어요! 자스민 하 진짜 뭥미.. 간지녀... 찬양하라 갓스민... 이거 안 본 사람 한국인 아님 아무튼 아님 
